STATION_NA,EXIT_CODE,longitude,latitude
KAKI BUKIT MRT STATION,Exit B,103.909146276263,1.33492189034272
BEDOK RESERVOIR MRT STATION,Exit B,103.933487189855,1.33655490332863
BENCOOLEN MRT STATION,Exit C,103.849271703873,1.29769911765443
BENCOOLEN MRT STATION,Exit A,103.850843384717,1.29919519603019
KAKI BUKIT MRT STATION,Exit A,103.909405098626,1.33531120636956
TAMPINES WEST MRT STATION,Exit B,103.938948503782,1.34499919751448
JALAN BESAR MRT STATION,Exit A,103.855296125414,1.30488989412929
BENDEMEER MRT STATION,Exit A,103.863074005937,1.31385250562225
BEDOK NORTH MRT STATION,Exit C,103.917810526029,1.33442257655151
UPPER CHANGI MRT STATION,Exit D,103.961043080709,1.34084047406433
GEYLANG BAHRU MRT STATION,Exit B,103.871794271427,1.32110911579532
TAMPINES MRT STATION,Exit D,103.943678182032,1.35487057481792
TAMPINES MRT STATION,Exit G,103.942723496695,1.35459633872811
BEDOK RESERVOIR MRT STATION,Exit A,103.932886822506,1.33634776089978
SENJA LRT STATION,Exit A,103.762325766572,1.3828754471752
YISHUN MRT STATION,Exit B,103.834865533461,1.42963629191008
YISHUN MRT STATION,Exit E,103.835643654933,1.42966559716462
SERANGOON MRT STATION,Exit G,103.872866695396,1.35079019941389
SERANGOON MRT STATION,Exit B,103.873641321904,1.34983373825613
SERANGOON MRT STATION,Exit E,103.872902116341,1.3508202454304
TAI SENG MRT STATION,Exit A,103.887627437262,1.33591408492645
EUNOS MRT STATION,Exit C,103.903215186978,1.31952991880127
SEMBAWANG MRT STATION,Exit C,103.819758966004,1.44915683716069
HOUGANG MRT STATION,Exit B,103.892972400972,1.37194611655273
CHANGI AIRPORT MRT STATION,Exit A,103.989276642414,1.3563414210048
OUTRAM PARK MRT STATION,Exit 8,103.838117129674,1.28232163095245
OUTRAM PARK MRT STATION,Exit 7,103.838640195189,1.2810220177189
MAXWELL MRT STATION,Exit 3,103.842916305543,1.28019152238094
MAXWELL MRT STATION,Exit 1,103.844164413475,1.28103425526259
MAXWELL MRT STATION,Exit 2,103.844895459262,1.28091943659091
SHENTON WAY MRT STATION,Exit 1,103.851835707382,1.27746205833565
SHENTON WAY MRT STATION,Exit 5,103.851807978051,1.2771436461189
SHENTON WAY MRT STATION,Exit 4,103.851034086049,1.27765594176983
SHENTON WAY MRT STATION,Exit 2,103.850915094628,1.27700305442423
SHENTON WAY MRT STATION,Exit 3,103.850128771071,1.27762958112669
SHENTON WAY MRT STATION,Exit 6,103.849893223277,1.27792920509497
MARINA BAY MRT STATION,Exit 1,103.854470032954,1.27735303297793
MARINA BAY MRT STATION,Exit 5,103.854319501956,1.27469326445441
MARINA BAY MRT STATION,Exit 4,103.856488836263,1.27363420910955
MARINA BAY MRT STATION,Exit 3,103.85537174149,1.27541636589719
ORCHARD MRT STATION,Exit 11,103.830496723547,1.30421797905404
ORCHARD MRT STATION,Exit 10,103.831126574248,1.30404570543486
ORCHARD MRT STATION,Exit 9,103.831506861841,1.30366551621641
ORCHARD MRT STATION,Exit 8,103.83178613556,1.30344571958931
ORCHARD MRT STATION,Exit 13,103.832124829631,1.30229921132352
ORCHARD MRT STATION,Exit 5,103.832023815157,1.30394471745993
ORCHARD MRT STATION,Exit 6,103.832320915154,1.30364769526593
STEVENS MRT STATION,Exit 5,103.826322577145,1.32093774341441
STEVENS MRT STATION,Exit 4,103.825882869659,1.32151990425561
STEVENS MRT STATION,Exit 1,103.825728378177,1.31995163510642
STEVENS MRT STATION,Exit 2,103.826013593581,1.31882889618825
STEVENS MRT STATION,Exit 3,103.824991570643,1.31947046099515
HAVELOCK MRT STATION,Exit 1,103.833839753358,1.28667674481792
HAVELOCK MRT STATION,Exit 2,103.833495118232,1.28694406698765
HAVELOCK MRT STATION,Exit 5,103.833961901637,1.28956096428231
HAVELOCK MRT STATION,Exit 4,103.834003496172,1.29016689416429
CITY HALL MRT STATION,Exit D,103.851802333809,1.29345482595132
SOO TECK LRT STATION,Exit A,103.897029921817,1.40501492486707
SOO TECK LRT STATION,Exit B,103.897408572121,1.40524489949914
DAMAI LRT STATION,Exit A,103.908792226992,1.40528461343374
MARINA BAY MRT STATION,Exit 2,103.85500333792,1.27615893131623
GARDENS BY THE BAY MRT STATION,Exit 3,103.867154122142,1.27830343996812
GARDENS BY THE BAY MRT STATION,Exit 2,103.867968767276,1.27882622333397
GARDENS BY THE BAY MRT STATION,Exit 1,103.868586734111,1.28037075595564
MARINA SOUTH MRT STATION,Exit 1,103.861503878728,1.27357480448593
MARINA SOUTH MRT STATION,Exit 2,103.861777210111,1.27385994951971
MARINA SOUTH MRT STATION,Exit 3,103.862894304629,1.27313520508679
MARINA SOUTH MRT STATION,Exit 4,103.862668508874,1.27551141461164
ORCHARD BOULEVARD MRT STATION,Exit 1,103.823637898436,1.30362395339039
ORCHARD BOULEVARD MRT STATION,Exit 2,103.82389561212,1.30246332428451
GREAT WORLD MRT STATION,Exit 5,103.833405504371,1.29655259456474
GREAT WORLD MRT STATION,Exit 1,103.833904631248,1.29332097607264
GREAT WORLD MRT STATION,Exit 2,103.832627103189,1.2928694999213
GREAT WORLD MRT STATION,Exit 6,103.832841014649,1.29318434464758
GREAT WORLD MRT STATION,Exit 3,103.832734059176,1.29381997655443
GREAT WORLD MRT STATION,Exit 4,103.833037100577,1.29602983278925
HAVELOCK MRT STATION,Exit 3,103.833369520278,1.28884356335354
NAPIER MRT STATION,Exit 1,103.819483777776,1.30693598792234
NAPIER MRT STATION,Exit 2,103.819506621185,1.3063449793684
ORCHARD MRT STATION,Exit 12,103.830663098953,1.30285761474898
OASIS LRT STATION,Exit A,103.912646133061,1.40250713144757
KADALOOR LRT STATION,Exit A,103.916387458482,1.39980926315018
MERIDIAN LRT STATION,Exit A,103.908965833187,1.39668105013866
MERIDIAN LRT STATION,Exit B,103.908869496154,1.39712168979943
COVE LRT STATION,Exit A,103.905928735776,1.399124393509
SOUTH VIEW LRT STATION,Exit A,103.74510113108,1.38031765699103
HOLLAND VILLAGE MRT STATION,Exit B,103.79576910839,1.31106948365962
ONE-NORTH MRT STATION,Exit B,103.787927806168,1.30035949347946
OUTRAM PARK MRT STATION,Exit 3,103.83978923248,1.28099327615611
DOVER MRT STATION,Exit A,103.778304715288,1.31141543344877
DOVER MRT STATION,Exit B,103.778464771304,1.31169319167964
BOON LAY MRT STATION,Exit D,103.705650038035,1.33862950779597
BOON LAY MRT STATION,Exit E,103.7053533532,1.3385141209312
BOON LAY MRT STATION,Exit F,103.705795031365,1.33827322197702
BUKIT BATOK MRT STATION,Exit B,103.749936955579,1.34938958776808
JOO KOON MRT STATION,Exit A,103.678520709011,1.32750208445865
JOO KOON MRT STATION,Exit B,103.678644077077,1.32795611143786
CHOA CHU KANG MRT STATION,Exit D,103.744223583926,1.38570539067001
KRANJI MRT STATION,Exit D,103.762496770529,1.42512495935501
MARSILING MRT STATION,Exit B,103.774410520697,1.43275137172006
MARSILING MRT STATION,Exit D,103.773997133375,1.43275136098458
HARBOURFRONT MRT STATION,Exit E,103.8215802917,1.26497195959122
HARBOURFRONT MRT STATION,Exit D,103.821398857154,1.26597925499591
HARBOURFRONT MRT STATION,Exit A,103.820468350461,1.26601318319783
CHINATOWN MRT STATION,Exit A,103.8437978881,1.28371277043019
CLARKE QUAY MRT STATION,Exit B,103.845903432736,1.28780575265584
CLARKE QUAY MRT STATION,Exit G,103.846593909165,1.28919925781809
LITTLE INDIA MRT STATION,Exit A,103.84936002946,1.30560525103922
SAM KEE LRT STATION,Exit B,103.904792279936,1.40982767244172
DAMAI LRT STATION,Exit B,103.908613856028,1.40504602830874
OASIS LRT STATION,Exit B,103.912754573795,1.4021037193748
KADALOOR LRT STATION,Exit B,103.916517130328,1.39941146718039
RIVIERA LRT STATION,Exit B,103.915935470521,1.39455906596969
RIVIERA LRT STATION,Exit A,103.916263098527,1.3943256111184
CORAL EDGE LRT STATION,Exit B,103.912708744367,1.39397080711083
CORAL EDGE LRT STATION,Exit A,103.91265223397,1.39368465222162
COVE LRT STATION,Exit B,103.9061760136,1.39930265660882
HARBOURFRONT MRT STATION,Exit A,103.822509807219,1.26508503461184
MACPHERSON MRT STATION,Exit A,103.889793336526,1.3266787588073
MACPHERSON MRT STATION,Exit B,103.890665675221,1.32585503018196
MACPHERSON MRT STATION,Exit C,103.890262565574,1.32548152990651
TONGKANG LRT STATION,Exit B,103.886084357383,1.38937900794855
TONGKANG LRT STATION,Exit A,103.885962114119,1.38918016099808
RENJONG LRT STATION,Exit A,103.890409161732,1.38669795588852
RENJONG LRT STATION,Exit B,103.890438192124,1.38681414421555
RANGGUNG LRT STATION,Exit A,103.897321723817,1.3841763860699
RANGGUNG LRT STATION,Exit B,103.897223938055,1.38410488340512
KANGKAR LRT STATION,Exit A,103.902147558141,1.38407450287348
KANGKAR LRT STATION,Exit B,103.902276368029,1.38376520316725
BAKAU LRT STATION,Exit A,103.905445630714,1.38818538545215
BAKAU LRT STATION,Exit B,103.905482124043,1.387840799257
RUMBIA LRT STATION,Exit A,103.906018791652,1.39134048641742
RUMBIA LRT STATION,Exit B,103.906105819366,1.39141424178713
ONE-NORTH MRT STATION,Exit A,103.786907466321,1.29902749872281
KENT RIDGE MRT STATION,Exit B,103.784809631882,1.29242811590855
KENT RIDGE MRT STATION,Exit A,103.784465895365,1.29431588700949
HAW PAR VILLA MRT STATION,Exit A,103.782006397072,1.28305527354176
PASIR PANJANG MRT STATION,Exit A,103.79203018692,1.27600323278505
LABRADOR PARK MRT STATION,Exit A,103.802355553663,1.27210695805434
TELOK BLANGAH MRT STATION,Exit A,103.80988373092,1.2707212262114
TAN KAH KEE MRT STATION,Exit A,103.807799119073,1.32533306908018
CASHEW MRT STATION,Exit A,103.764234480711,1.36983331859629
SIXTH AVENUE MRT STATION,Exit A,103.796566082121,1.33078046994618
KING ALBERT PARK MRT STATION,Exit A,103.783030260215,1.33553707766976
HILLVIEW MRT STATION,Exit B,103.767108459936,1.36208433991773
BUKIT PANJANG MRT STATION,Exit A,103.761922934209,1.37900796974076
ROCHOR MRT STATION,Exit A,103.852375021633,1.30340410653552
DOWNTOWN MRT STATION,Exit F,103.852427746441,1.27979623969206
TELOK AYER MRT STATION,Exit A,103.848506543896,1.28188738923558
PIONEER MRT STATION,Exit A,103.697155373411,1.33734462692044
PIONEER MRT STATION,Exit B,103.697129452876,1.33783162800548
TANJONG PAGAR MRT STATION,Exit I,103.845656003885,1.27644796791678
BUONA VISTA MRT STATION,Exit D,103.790930065154,1.30629814162477
COMPASSVALE LRT STATION,Exit A,103.9006164696,1.39432752151004
COMPASSVALE LRT STATION,Exit B,103.900706597553,1.39453417229989
PUNGGOL POINT LRT STATION,Exit B,103.906693304924,1.41666406794097
PUNGGOL POINT LRT STATION,Exit A,103.906817792333,1.41691476791429
NIBONG LRT STATION,Exit A,103.900073808053,1.4117727733571
NIBONG LRT STATION,Exit B,103.900531554207,1.4119103237023
SUMANG LRT STATION,Exit A,103.898335680078,1.40836843102047
SUMANG LRT STATION,Exit B,103.898757123956,1.40848790183837
DOWNTOWN MRT STATION,Exit E,103.852478046399,1.27952791063231
DOWNTOWN MRT STATION,Exit B,103.85290812847,1.27960131828225
DOWNTOWN MRT STATION,Exit C,103.853152091961,1.27944436839161
DOWNTOWN MRT STATION,Exit D,103.853013759131,1.27917604078089
TELOK AYER MRT STATION,Exit C,103.848841656061,1.28225066426407
FARRER PARK MRT STATION,Exit I,103.855806657255,1.3117658772962
FARRER PARK MRT STATION,Exit H,103.856098852115,1.31188350806091
BOON KENG MRT STATION,Exit C,103.860706833288,1.31791481647231
POTONG PASIR MRT STATION,Exit A,103.868966444703,1.33280135224287
NICOLL HIGHWAY MRT STATION,Exit B,103.864151747702,1.29966075968377
BOTANIC GARDENS MRT STATION,Exit A,103.814976905734,1.32253463294936
FARRER ROAD MRT STATION,Exit A,103.807965230708,1.31749372589551
FARRER ROAD MRT STATION,Exit B,103.807389234558,1.31755201617223
HOLLAND VILLAGE MRT STATION,Exit C,103.795753770113,1.31071120133272
HOLLAND VILLAGE MRT STATION,Exit A,103.796139102483,1.31122026577719
BAYFRONT MRT STATION,Exit C,103.859596872187,1.28283490868894
BAYFRONT MRT STATION,Exit B,103.859759180227,1.28270522470828
BEAUTY WORLD MRT STATION,Exit B,103.775450679441,1.34158221454984
BISHAN MRT STATION,Exit D,103.850201081965,1.35105321993329
BISHAN MRT STATION,Exit A,103.848304991722,1.35057959871202
BOON KENG MRT STATION,Exit A,103.861502357069,1.32010687599131
SENGKANG MRT STATION,Exit D,103.89570545661,1.39237084363153
SENGKANG MRT STATION,Exit B,103.895636894365,1.39179563766207
SENGKANG MRT STATION,Exit A,103.895405720754,1.39182911971822
SENGKANG MRT STATION,Exit C,103.895209399885,1.39088158609449
PUNGGOL MRT STATION,Exit A,103.902305996656,1.40533957622685
PUNGGOL LRT STATION,Exit D,103.901798524363,1.40443833617806
PUNGGOL MRT STATION,Exit B,103.902598196988,1.40518624176365
PUNGGOL LRT STATION,Exit C,103.902115639183,1.40430062572978
BUANGKOK MRT STATION,Exit B,103.893463152237,1.38264972282021
YISHUN MRT STATION,Exit C,103.835090842713,1.42911681431371
TAI SENG MRT STATION,Exit B,103.888214067772,1.33462087723075
BARTLEY MRT STATION,Exit B,103.878908693925,1.34350106152933
BARTLEY MRT STATION,Exit A,103.880255893265,1.34224874921609
SERANGOON MRT STATION,Exit H,103.873546495734,1.34972769951436
SERANGOON MRT STATION,Exit A,103.873957395391,1.349481680255
SERANGOON MRT STATION,Exit D,103.874321946576,1.3499015921065
SERANGOON MRT STATION,Exit C,103.873694014498,1.35059510442143
SERANGOON MRT STATION,Exit F,103.871449340349,1.35094827793695
LORONG CHUAN MRT STATION,Exit B,103.862918299956,1.35173853791277
LORONG CHUAN MRT STATION,Exit A,103.864933673465,1.35143910357514
MARYMOUNT MRT STATION,Exit B,103.840058918077,1.34786607217308
MARYMOUNT MRT STATION,Exit A,103.839087956801,1.34898038642137
DHOBY GHAUT MRT STATION,Exit C,103.844747857191,1.29964924216132
CALDECOTT MRT STATION,Exit 1,103.839406731225,1.33710531669564
EXPO MRT STATION,Exit A,103.961942958226,1.33532172433891
EXPO MRT STATION,Exit B,103.962075287596,1.33525294423695
ADMIRALTY MRT STATION,Exit B,103.800533463258,1.44015239674676
ADMIRALTY MRT STATION,Exit D,103.801364534451,1.4405333880723
ANG MO KIO MRT STATION,Exit C,103.849343273705,1.3694405305965
BAYFRONT MRT STATION,Exit A,103.85873192474,1.28096742397164
BAYFRONT MRT STATION,Exit E,103.858441003652,1.28110463709187
BAYFRONT MRT STATION,Exit D,103.859493846611,1.28283435447098
TAMPINES MRT STATION,Exit B,103.945089563334,1.35353908166709
HOUGANG MRT STATION,Exit C,103.891975029135,1.37214183483289
HOUGANG MRT STATION,Exit A,103.892445723159,1.37020857826092
KOVAN MRT STATION,Exit B,103.884721732122,1.36020562306327
KOVAN MRT STATION,Exit C,103.885450578,1.36002801014446
KOVAN MRT STATION,Exit A,103.884307428636,1.35970758870125
EUNOS MRT STATION,Exit A,103.902894137842,1.31951727489935
EUNOS MRT STATION,Exit B,103.902582077618,1.3195625452698
KEMBANGAN MRT STATION,Exit B,103.912899288746,1.32115210805545
KEMBANGAN MRT STATION,Exit A,103.912941079407,1.32092376028202
BEDOK MRT STATION,Exit A,103.929157143095,1.32356863615635
BEDOK MRT STATION,Exit B,103.929673089995,1.32426834276114
ANG MO KIO MRT STATION,Exit B,103.849596100655,1.36968532219972
ANG MO KIO MRT STATION,Exit A,103.849939000741,1.3694647065051
BISHAN MRT STATION,Exit B,103.84831225598,1.35106443927374
BISHAN MRT STATION,Exit E,103.848432923875,1.35103483777104
BISHAN MRT STATION,Exit C,103.848209281294,1.35058491153989
BRADDELL MRT STATION,Exit C,103.847440830591,1.34067216394317
BRADDELL MRT STATION,Exit B,103.846406497231,1.34074431901447
BRADDELL MRT STATION,Exit A,103.846429540721,1.34106899206951
TOA PAYOH MRT STATION,Exit B,103.847577567476,1.33231553664677
TOA PAYOH MRT STATION,Exit C,103.847319773632,1.33299410183748
NOVENA MRT STATION,Exit B,103.843339733476,1.31989588603478
NOVENA MRT STATION,Exit A,103.844389333871,1.32109486830236
TOA PAYOH MRT STATION,Exit D,103.846517406156,1.33327874598633
WOODLEIGH MRT STATION,Exit C,103.871053804158,1.3398672199419
WOODLEIGH MRT STATION,Exit A,103.870940604568,1.33851065441145
WOODLEIGH MRT STATION,Exit B,103.870508468145,1.33858314946013
BOON KENG MRT STATION,Exit B,103.861903675519,1.31923519599748
POTONG PASIR MRT STATION,Exit C,103.868703893188,1.33106671097983
POTONG PASIR MRT STATION,Exit B,103.869333239363,1.33114814073399
SOMERSET MRT STATION,Exit A,103.838399326576,1.3000284884874
ONE-NORTH MRT STATION,Exit C,103.787565456204,1.29971469760634
BRAS BASAH MRT STATION,Exit B,103.850474275507,1.29604621307724
BRAS BASAH MRT STATION,Exit A,103.851327253386,1.29685892177104
BRAS BASAH MRT STATION,Exit C,103.850249852705,1.29701443296395
BRAS BASAH MRT STATION,Exit D,103.85015752098,1.29755148518356
BRAS BASAH MRT STATION,Exit E,103.850423192511,1.29753545171709
ESPLANADE MRT STATION,Exit A,103.856305554739,1.29337054827687
BUKIT BATOK MRT STATION,Exit C,103.749766564931,1.34952006073274
CHINATOWN MRT STATION,Exit D,103.843476210528,1.28540645998668
BUKIT BATOK MRT STATION,Exit D,103.749118394189,1.34840537590496
BUKIT BATOK MRT STATION,Exit A,103.749973990258,1.34956107535244
BUKIT GOMBAK MRT STATION,Exit C,103.751726614847,1.35906497975184
BUKIT GOMBAK MRT STATION,Exit A,103.752076389375,1.35906984624156
BUKIT GOMBAK MRT STATION,Exit D,103.751950990526,1.35929785281919
BOON LAY MRT STATION,Exit B,103.706145547967,1.33842069565789
BOON LAY MRT STATION,Exit C,103.705955152611,1.33873810873339
BOON LAY MRT STATION,Exit A,103.705408994969,1.33827998808197
LAKESIDE MRT STATION,Exit C,103.721712827003,1.34430416996866
LAKESIDE MRT STATION,Exit B,103.721075412743,1.34408145751948
KRANJI MRT STATION,Exit C,103.761754685561,1.42512594915704
BUKIT PANJANG LRT STATION,Exit A,103.763063555247,1.37802038374966
BUKIT PANJANG LRT STATION,Exit B,103.763178520546,1.3778632485676
SAMUDERA LRT STATION,Exit A,103.901911509627,1.41586536048285
SAMUDERA LRT STATION,Exit B,103.902361560111,1.41590585709171
TECK LEE LRT STATION,Exit A,103.906781529506,1.4128757347357
TECK LEE LRT STATION,Exit B,103.906510789934,1.41292900309077
SAM KEE LRT STATION,Exit A,103.905038571005,1.40970250004176
PETIR LRT STATION,Exit A,103.766793014963,1.37760322809516
PENDING LRT STATION,Exit A,103.771327842297,1.37629711719364
BANGKIT LRT STATION,Exit A,103.772590574209,1.37985334676455
FAJAR LRT STATION,Exit A,103.770675518445,1.38446507117965
SEGAR LRT STATION,Exit A,103.769409914802,1.38781155599523
JELAPANG LRT STATION,Exit A,103.764676792845,1.38683269953093
TAMPINES MRT STATION,Exit F,103.942653681878,1.35419392760642
GEYLANG BAHRU MRT STATION,Exit A,103.871555607569,1.32156169874025
TAMPINES EAST MRT STATION,Exit A,103.954540440781,1.35646076166742
CHOA CHU KANG MRT STATION,Exit A,103.744557135368,1.38543128087598
ORCHARD MRT STATION,Exit 3,103.832770796508,1.30416113765593
ORCHARD MRT STATION,Exit 7,103.832171601239,1.30316753447888
SOMERSET MRT STATION,Exit B,103.838458985164,1.30076651877174
DHOBY GHAUT MRT STATION,Exit A,103.846787971786,1.29844509204817
DHOBY GHAUT MRT STATION,Exit B,103.845229558929,1.29905589070891
DHOBY GHAUT MRT STATION,Exit E,103.84537229423,1.29974847066982
DHOBY GHAUT MRT STATION,Exit F,103.845842318018,1.29963489191106
BUGIS MRT STATION,Exit C,103.855685703914,1.30000694069987
CITY HALL MRT STATION,Exit A,103.853020413551,1.29322711034183
CITY HALL MRT STATION,Exit B,103.851960217746,1.29309991857995
BUGIS MRT STATION,Exit B,103.856336627673,1.3007821987657
BUGIS MRT STATION,Exit A,103.855924081461,1.30120408956464
OUTRAM PARK MRT STATION,Exit 1,103.838657701712,1.2816024282435
OUTRAM PARK MRT STATION,Exit 2,103.838934837217,1.28167534568857
TANJONG PAGAR MRT STATION,Exit B,103.846544590474,1.2766717422527
TANJONG PAGAR MRT STATION,Exit A,103.84483401421,1.27640850073994
TANJONG PAGAR MRT STATION,Exit C,103.846533557964,1.27608922999502
