Year,Month,Average_Close
2035,12,4496.743714065603
2035,11,4459.55159787448
2035,10,4430.201982795174
2035,9,4435.424890303021
2035,8,4449.8644990763
2035,7,4483.611083344597
2035,6,4452.567856025225
2035,5,4474.974445174923
2035,4,4477.955014948415
2035,3,4431.822535978666
2035,2,4446.876820367785
2035,1,4432.817816733549
2034,12,4400.662798647347
2034,11,4363.608410819871
2034,10,4334.361515572391
2034,9,4339.58075812146
2034,8,4354.445965966983
2034,7,4388.64577442398
2034,6,4357.380967060156
2034,5,4378.973878358244
2034,4,4383.20393739019
2034,3,4336.882802709687
2034,2,4351.302111285337
2034,1,4337.173346235745
2033,12,4306.017946135212
2033,11,4267.330366604395
2033,10,4238.647950588963
2033,9,4243.65296966914
2033,8,4258.390142425907
2033,7,4293.505985027742
2033,6,4261.270607186779
2033,5,4282.759323117991
2033,4,4287.632834515731
2033,3,4241.184119579348
2033,2,4255.1528099822235
2033,1,4242.274886330467
2032,12,4210.538633370127
2032,11,4171.848915092166
2032,10,4142.619236735848
2032,9,4147.659860341472
2032,8,4161.364802747608
2032,7,4197.744099403594
2032,6,4165.350214092193
2032,5,4186.1731831110665
2032,4,4192.689320304094
2032,3,4144.832796239191
2032,2,4159.984199213048
2032,1,4145.614215333324
2031,12,4113.338631015047
2031,11,4075.159544549898
2031,10,4047.506164393032
2031,9,4051.840613893264
2031,8,4067.159490908676
2031,7,4099.550619523936
2031,6,4070.0563760407254
2031,5,4091.7976949932386
2031,4,4094.5173831978504
2031,3,4047.891876151757
2031,2,4064.3710963712592
2031,1,4049.8497997930485
2030,12,4017.714701626159
2030,11,3980.623604747829
2030,10,3951.45059295757
2030,9,3956.638951175527
2030,8,3970.308823563995
2030,7,4003.829651457707
2030,6,3974.1179635396174
2030,5,3995.2038180930085
2030,4,3999.0723084359574
2030,3,3951.7123418624096
2030,2,3968.478523063207
2030,1,3953.940190600162
2029,12,3922.687875072722
2029,11,3885.593656948577
2029,10,3855.956849485723
2029,9,3860.256215527148
2029,8,3874.5525438322284
2029,7,3909.2074327794194
2029,6,3878.4010467949465
2029,5,3899.457782958582
2029,4,3903.9504950352302
2029,3,3857.307103187022
2029,2,3872.647974231043
2029,1,3858.063759776688
2028,12,3826.729430160496
2028,11,3789.619259371962
2028,10,3759.5263528683527
2028,9,3765.143135502469
2028,8,3778.601950653381
2028,7,3815.1943047253435
2028,6,3782.168979962374
2028,5,3803.9827054129187
2028,4,3808.7190714530143
2028,3,3762.8272276655944
2028,2,3775.725515706171
2028,1,3763.223566182591
2027,12,3731.0196563926434
2027,11,3691.3203565223903
2027,10,3663.9782263553534
2027,9,3668.750859102096
2027,8,3683.9407783495058
2027,7,3717.427926855804
2027,6,3686.9952358543287
2027,5,3708.0366169950657
2027,4,3712.9917596674973
2027,3,3665.775145180819
2027,2,3680.527007255702
2027,1,3667.1061498825766
2026,12,3634.919315466554
2026,11,3596.624074109879
2026,10,3568.5413544900907
2026,9,3572.747940590409
2026,8,3586.555572681939
2026,7,3621.9730796800177
2026,6,3590.8656849484337
2026,5,3613.0725532283354
2026,4,3616.3935449431856
2026,3,3569.8225771176653
2026,2,3585.027186511908
