school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude,cluster
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,False,False,False,False,1.4426347903311,103.800040119743,7
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT,737916,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.44589068910993,103.802398196596,7
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43315271543517,103.832942401086,7
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7,768928,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43605975368804,103.829718690077,7
AI TONG SCHOOL,100 Bright Hill Drive,579646,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,True,False,False,False,1.3605834338904,103.833020333986,2
ALEXANDRA PRIMARY SCHOOL,2A Prince Charles Crescent,159016,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.29133439161334,103.824424680531,4
ANCHOR GREEN PRIMARY SCHOOL,31 Anchorvale Drive,544969,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.39036998654612,103.887165375933,1
ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9,569785,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.38419941907925,103.841411716006,1
ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53,569206,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,True,False,False,1.37434001701177,103.851554107068,3
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,False,1.37839670972543,103.845885968342,3
ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3,569920,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.36932176584608,103.839630858752,1
ANG MO KIO SECONDARY SCHOOL,6 ANG MO KIO STREET 22,569362,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.36733710171069,103.842154973672,3
ANGLICAN HIGH SCHOOL,600 UPPER CHANGI ROAD,487012,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,True,True,False,False,1.33058126205128,103.941082513081,6
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,False,False,False,False,1.30304255193392,103.785358436408,4
ANGLO-CHINESE SCHOOL (BARKER ROAD),60 BARKER ROAD,309919,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.31961649151328,103.835772689988,2
ANGLO-CHINESE SCHOOL (INDEPENDENT),121 DOVER ROAD,139650,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,False,False,True,True,1.30370409257783,103.780363417671,4
ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD,227988,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.30935041274966,103.840950265464,2
ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD,309918,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,False,False,True,False,1.31837054523521,103.835609732354,2
