school_name,address,postal_code,type_code,nature_code,session_code,mainlevel_code,sap_ind_x,autonomous_ind_x,gifted_ind_x,ip_ind_x,latitude,longitude,cluster,school_count,sap_ind_y,autonomous_ind_y,gifted_ind_y,ip_ind_y,sap_ind_pct,autonomous_ind_pct,gifted_ind_pct,ip_ind_pct,cluster_center_lat,cluster_center_lng
ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,False,False,False,False,1.4426347903311,103.800040119743,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
ADMIRALTY SECONDARY SCHOOL,31 WOODLANDS CRESCENT,737916,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.44589068910993,103.802398196596,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43315271543517,103.832942401086,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
AHMAD IBRAHIM SECONDARY SCHOOL,751 YISHUN AVENUE 7,768928,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43605975368804,103.829718690077,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.45125024371543,103.815858858929,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE,757699,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.45319086315972,103.814203583818,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43839562897006,103.839309173817,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
CHRIST CHURCH SECONDARY SCHOOL,20 WOODLANDS DRIVE 17,737924,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.42656780901455,103.793451105242,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61,768547,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.41922603586175,103.837390782849,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
ENDEAVOUR PRIMARY SCHOOL,10 Admiralty Link,757521,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.45388170417263,103.817174701639,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.44414835451585,103.794545295922,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83,738489,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.44149131273737,103.794137756171,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1,739063,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43047990810126,103.778192944298,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DR 62,737942,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43989958331782,103.804725587384,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11,768857,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42697284512936,103.844240226564,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17,737888,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42896700684852,103.790607539185,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71,768515,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42768847665227,103.830425490093,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD,738927,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.43383904037059,103.773643013846,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD,739110,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.43664424769955,103.776008090454,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4,769028,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.41590195697649,103.839100590207,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD,768689,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,False,False,False,False,1.41937881620441,103.831050390247,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,False,False,False,False,1.42745159462566,103.848378442893,6,48,0,1,0,0,0.0,2.1,0.0,0.0,1.434673573672719,103.81272265709664
